budget_id,store_id,year,month,month_name,revenue_target,profit_target
146,5,2022,2,February,85847.39,17169.48
147,5,2022,3,March,267373.25,53474.65
148,5,2022,4,April,222833.4,44566.68
149,5,2022,5,May,316627.12,63325.42
150,5,2022,6,June,221537.11,44307.42
151,5,2022,7,July,269099.17,53819.83
152,5,2022,8,August,216304.67,43260.93
153,5,2022,9,September,225024.43,45004.89
154,5,2022,10,October,132311.31,26462.26
155,5,2022,11,November,335705.77,67141.15
156,5,2022,12,December,227068.16,45413.63
157,5,2023,1,January,256394.99,51279.0
158,5,2023,2,February,177163.25,35432.65
159,5,2023,3,March,209231.62,41846.32
160,5,2023,4,April,272198.78,54439.76
161,5,2023,5,May,131031.21,26206.24
162,5,2023,6,June,139202.39,27840.48
163,5,2023,7,July,138425.03,27685.01
164,5,2023,8,August,249150.72,49830.14
165,5,2023,9,September,375304.77,75060.95
166,5,2023,10,October,324318.22,64863.64
167,5,2023,11,November,279554.27,55910.85
168,5,2023,12,December,380415.33,76083.07
169,5,2024,1,January,301853.28,60370.66
170,5,2024,2,February,153266.29,30653.26
171,5,2024,3,March,268491.16,53698.23
172,5,2024,4,April,222075.23,44415.05
173,5,2024,5,May,226883.21,45376.64
174,5,2024,6,June,138344.63,27668.93
175,5,2024,7,July,119767.39,23953.48
176,5,2024,8,August,190336.18,38067.24
177,5,2024,9,September,242811.26,48562.25
178,5,2024,10,October,155491.05,31098.21
179,5,2024,11,November,309289.05,61857.81
180,5,2024,12,December,226998.07,45399.61
181,6,2022,1,January,243733.84,48746.77
182,6,2022,2,February,176505.52,35301.1
183,6,2022,3,March,275241.15,55048.23
184,6,2022,4,April,98905.13,19781.03
185,6,2022,5,May,249832.2,49966.44
186,6,2022,6,June,283467.75,56693.55
187,6,2022,7,July,298986.22,59797.24
188,6,2022,8,August,230488.44,46097.69
189,6,2022,9,September,188844.17,37768.83
190,6,2022,10,October,324197.89,64839.58
191,6,2022,11,November,117973.09,23594.62
192,6,2022,12,December,455781.76,91156.35
193,6,2023,1,January,247266.94,49453.39
194,6,2023,2,February,175703.18,35140.64
195,6,2023,3,March,209153.1,41830.62
196,6,2023,4,April,78447.95,15689.59
197,6,2023,5,May,172395.78,34479.16
198,6,2023,6,June,201210.96,40242.19
199,6,2023,7,July,170018.38,34003.68
200,6,2023,8,August,110203.91,22040.78
201,6,2023,9,September,383066.93,76613.39
202,6,2023,10,October,148801.84,29760.37
203,6,2023,11,November,160446.58,32089.32
204,6,2023,12,December,121558.61,24311.72
205,6,2024,1,January,159179.96,31835.99
206,6,2024,2,February,167075.83,33415.17
207,6,2024,3,March,76756.7,15351.34
208,6,2024,4,April,237825.66,47565.13
209,6,2024,5,May,209292.61,41858.52
210,6,2024,6,June,151341.37,30268.27
211,6,2024,7,July,106149.02,21229.8
212,6,2024,8,August,310180.56,62036.11
213,6,2024,9,September,101321.28,20264.26
214,6,2024,10,October,176178.25,35235.65
215,6,2024,11,November,312451.29,62490.26
216,6,2024,12,December,435215.59,87043.12
217,7,2022,1,January,269000.59,53800.12
218,7,2022,2,February,255172.38,51034.48
219,7,2022,3,March,210412.67,42082.53
220,7,2022,4,April,259172.73,51834.55
221,7,2022,5,May,152929.32,30585.86
222,7,2022,6,June,184243.39,36848.68
223,7,2022,7,July,119532.37,23906.47
224,7,2022,8,August,244938.16,48987.63
225,7,2022,9,September,233114.1,46622.82
226,7,2022,10,October,279053.4,55810.68
227,7,2022,11,November,382064.12,76412.82
228,7,2022,12,December,294008.24,58801.65
229,7,2023,1,January,364146.34,72829.27
230,7,2023,2,February,305072.52,61014.5
231,7,2023,3,March,248003.49,49600.7
232,7,2023,4,April,88509.69,17701.94
233,7,2023,5,May,306815.02,61363.0
234,7,2023,6,June,127098.73,25419.75
235,7,2023,7,July,182246.5,36449.3
236,7,2023,8,August,296834.22,59366.84
237,7,2023,9,September,360167.61,72033.52
238,7,2023,10,October,275853.95,55170.79
239,7,2023,11,November,285949.7,57189.94
240,7,2023,12,December,143754.8,28750.96
241,7,2024,1,January,234462.88,46892.58
242,7,2024,2,February,244193.27,48838.65
243,7,2024,3,March,72898.74,14579.75
244,7,2024,4,April,135654.67,27130.93
245,7,2024,5,May,236483.61,47296.72
246,7,2024,6,June,292818.34,58563.67
247,7,2024,7,July,180816.5,36163.3
248,7,2024,8,August,101571.41,20314.28
249,7,2024,9,September,237739.18,47547.84
250,7,2024,10,October,319189.34,63837.87
251,7,2024,11,November,254107.61,50821.52
252,7,2024,12,December,133377.25,26675.45
253,8,2022,1,January,155735.53,31147.11
254,8,2022,2,February,203681.78,40736.36
255,8,2022,3,March,256301.63,51260.33
256,8,2022,4,April,103325.89,20665.18
257,8,2022,5,May,165749.81,33149.96
258,8,2022,6,June,200701.59,40140.32
259,8,2022,7,July,140600.74,28120.15
260,8,2022,8,August,332340.37,66468.07
261,8,2022,9,September,90748.65,18149.73
262,8,2022,10,October,138151.67,27630.33
263,8,2022,11,November,139361.41,27872.28
264,8,2022,12,December,150602.35,30120.47
265,8,2023,1,January,332931.19,66586.24
266,8,2023,2,February,227691.64,45538.33
267,8,2023,3,March,165896.86,33179.37
268,8,2023,4,April,202385.97,40477.19
269,8,2023,5,May,281396.38,56279.28
270,8,2023,6,June,218327.55,43665.51
271,8,2023,7,July,177309.59,35461.92
272,8,2023,8,August,83752.58,16750.52
273,8,2023,9,September,228262.55,45652.51
274,8,2023,10,October,283188.95,56637.79
275,8,2023,11,November,195956.59,39191.32
276,8,2023,12,December,359883.02,71976.6
277,8,2024,1,January,260757.69,52151.54
278,8,2024,2,February,362991.01,72598.2
279,8,2024,3,March,181814.8,36362.96
280,8,2024,4,April,229974.29,45994.86
281,8,2024,5,May,103954.98,20791.0
282,8,2024,6,June,181428.4,36285.68
283,8,2024,7,July,154764.64,30952.93
284,8,2024,8,August,206198.69,41239.74
285,8,2024,9,September,284322.76,56864.55
286,8,2024,10,October,171453.76,34290.75
287,8,2024,11,November,322073.34,64414.67
288,8,2024,12,December,184046.64,36809.33
289,9,2022,1,January,203826.52,40765.3
290,9,2022,2,February,357693.81,71538.76
291,9,2022,3,March,292367.91,58473.58
292,9,2022,4,April,79991.7,15998.34
293,9,2022,5,May,90469.45,18093.89
294,9,2022,6,June,317010.61,63402.12
295,9,2022,7,July,120510.62,24102.12
296,9,2022,8,August,299744.76,59948.95
297,9,2022,9,September,90774.84,18154.97
298,9,2022,10,October,160929.76,32185.95
299,9,2022,11,November,256994.48,51398.9
300,9,2022,12,December,212211.22,42442.24
301,9,2023,1,January,142260.48,28452.1
302,9,2023,2,February,317487.26,63497.45
303,9,2023,3,March,257410.17,51482.03
304,9,2023,4,April,268353.99,53670.8
305,9,2023,5,May,91231.77,18246.35
306,9,2023,6,June,214438.88,42887.78
307,9,2023,7,July,258845.26,51769.05
308,9,2023,8,August,196841.58,39368.32
309,9,2023,9,September,272792.66,54558.53
310,9,2023,10,October,372026.07,74405.21
311,9,2023,11,November,370351.62,74070.32
312,9,2023,12,December,206518.29,41303.66
313,9,2024,1,January,208622.79,41724.56
314,9,2024,2,February,104277.22,20855.44
315,9,2024,3,March,119495.6,23899.12
316,9,2024,4,April,207920.89,41584.18
317,9,2024,5,May,306240.95,61248.19
318,9,2024,6,June,323313.44,64662.69
319,9,2024,7,July,112944.15,22588.83
320,9,2024,8,August,192636.53,38527.31
321,9,2024,9,September,177242.37,35448.47
322,9,2024,10,October,298181.94,59636.39
323,9,2024,11,November,200441.55,40088.31
324,9,2024,12,December,198774.86,39754.97
325,10,2022,1,January,154862.66,30972.53
326,10,2022,2,February,190433.5,38086.7
327,10,2022,3,March,140738.6,28147.72
328,10,2022,4,April,187947.79,37589.56
329,10,2022,5,May,232561.36,46512.27
330,10,2022,6,June,189044.27,37808.85
331,10,2022,7,July,205704.58,41140.92
332,10,2022,8,August,83519.83,16703.97
333,10,2022,9,September,300127.42,60025.48
334,10,2022,10,October,148596.12,29719.22
335,10,2022,11,November,127890.28,25578.06
336,10,2022,12,December,175800.86,35160.17
337,10,2023,1,January,129295.74,25859.15
338,10,2023,2,February,150547.76,30109.55
339,10,2023,3,March,264315.74,52863.15
340,10,2023,4,April,215472.76,43094.55
341,10,2023,5,May,277233.19,55446.64
342,10,2023,6,June,309609.97,61921.99
343,10,2023,7,July,120499.0,24099.8
344,10,2023,8,August,271438.39,54287.68
345,10,2023,9,September,244816.99,48963.4
346,10,2023,10,October,223085.12,44617.02
347,10,2023,11,November,398920.42,79784.08
348,10,2023,12,December,278518.63,55703.73
349,10,2024,1,January,200952.64,40190.53
350,10,2024,2,February,101937.38,20387.48
351,10,2024,3,March,241676.52,48335.3
352,10,2024,4,April,182468.36,36493.67
353,10,2024,5,May,131160.35,26232.07
354,10,2024,6,June,210797.53,42159.51
355,10,2024,7,July,263114.36,52622.87
356,10,2024,8,August,206020.22,41204.04
357,10,2024,9,September,96664.38,19332.88
358,10,2024,10,October,203444.33,40688.87
359,10,2024,11,November,192580.18,38516.04
360,10,2024,12,December,465808.17,93161.63
