activity_id,customer_id,date_id,last_purchase_date,purchase_frequency,total_spend,days_since_last_purchase,is_churned
55,6,280,2022-06-05,20,63912.21,940,False
56,6,114,2022-01-10,17,53791.04,1086,False
57,6,806,2024-01-01,6,44971.77,365,False
58,6,508,2023-03-06,12,54602.28,666,False
59,6,793,2024-01-14,12,43469.11,352,False
60,6,941,2024-06-09,4,11546.62,205,False
61,6,441,2022-12-13,10,59625.66,749,False
62,6,370,2022-10-16,18,33696.91,807,False
63,6,562,2023-04-25,14,64500.65,616,False
64,6,596,2023-05-31,8,13990.53,580,False
65,7,227,2022-05-11,7,1627.63,965,False
66,7,861,2024-01-02,3,3679.69,364,False
67,7,483,2022-11-09,3,9529.31,783,False
68,7,71,2021-12-27,7,555.47,1100,False
69,7,1060,2024-09-11,7,10401.56,111,False
70,8,610,2023-08-24,16,14996.81,495,False
71,8,1083,2024-12-06,4,43531.7,25,False
72,8,990,2024-08-20,16,74644.65,133,False
73,8,46,2021-09-29,9,46771.25,1189,False
74,8,653,2023-04-19,6,41767.35,622,False
75,8,218,2022-07-18,12,60114.8,897,False
76,8,333,2022-07-25,11,57671.68,890,False
77,8,954,2024-03-01,7,77649.49,305,False
78,8,872,2024-04-29,8,19050.67,246,False
79,8,623,2023-08-31,13,68092.69,488,False
80,8,334,2022-10-17,7,34045.91,806,False
81,8,1038,2024-10-09,19,65492.06,83,False
82,8,935,2024-02-29,20,75210.76,306,False
83,8,163,2022-05-16,3,20909.91,960,False
84,8,973,2024-07-02,14,34065.45,182,False
85,8,830,2023-12-13,4,48379.06,384,False
86,8,884,2024-01-01,15,44320.67,365,False
87,8,780,2024-01-05,13,33475.07,361,False
88,8,194,2022-05-04,3,37517.07,972,False
89,8,356,2022-09-08,12,48543.52,845,False
90,9,112,2021-12-29,4,14012.24,1098,False
91,9,228,2022-07-11,8,1561.24,904,False
92,9,288,2022-09-23,6,2288.29,830,False
93,10,910,2024-01-13,1,9297.66,353,False
94,10,826,2024-02-25,8,3674.94,310,False
95,10,879,2024-01-27,4,12557.55,339,False
96,10,307,2022-06-14,5,2595.63,931,False
97,10,1000,2024-05-15,7,11156.73,230,False
98,10,917,2024-02-27,5,635.47,308,False
99,10,615,2023-04-21,6,13910.94,620,False
100,10,232,2022-07-18,1,6412.22,897,False
101,10,260,2022-06-12,9,12344.07,933,False
102,10,510,2023-01-24,1,2042.64,707,False
103,10,546,2023-01-22,9,7115.36,709,False
104,10,208,2022-01-28,6,8132.25,1068,False
105,11,258,2022-05-11,9,12071.91,965,False
106,11,298,2022-05-02,6,9140.78,974,False
107,11,479,2023-02-27,10,10430.01,673,False
108,11,158,2022-01-06,8,13367.99,1090,False
109,11,439,2022-11-27,9,6598.29,765,False
110,11,545,2023-05-19,2,5083.17,592,False
111,11,166,2022-05-11,7,1465.01,965,False
112,11,15,2021-08-17,2,10995.67,1232,False
113,11,1081,2024-11-07,8,7563.94,54,False
114,11,774,2023-08-28,6,3271.16,491,False
115,11,436,2022-11-06,7,10872.44,786,False
116,11,957,2024-06-16,3,6612.55,198,False
117,12,332,2022-08-08,4,2336.88,876,True
118,12,907,2024-05-01,1,352.23,244,True
119,12,273,2022-08-09,3,2009.89,875,True
120,13,549,2023-05-02,5,1042.5,609,False
121,13,938,2024-07-07,7,2556.05,177,False
122,13,994,2024-06-09,7,4261.47,205,False
123,13,1083,2024-06-22,5,8065.17,192,False
124,13,58,2021-09-15,6,6066.48,1203,False
125,13,242,2022-07-02,2,10770.42,913,False
126,13,821,2023-12-19,7,13717.91,378,False
127,13,91,2022-02-20,10,10675.2,1045,False
128,13,1016,2024-09-05,10,4903.6,117,False
129,13,241,2022-07-08,6,13127.64,907,False
130,14,107,2022-03-28,5,12038.99,1009,False
131,14,30,2021-10-19,9,1540.06,1169,False
132,14,879,2023-12-19,6,13049.54,378,False
133,15,3,2021-11-11,13,67835.41,1146,False
134,15,302,2022-07-10,6,78461.29,905,False
135,15,973,2024-06-08,1,30149.58,206,False
136,15,602,2023-07-02,5,76606.71,548,False
137,15,859,2024-05-05,6,41130.29,240,False
138,15,562,2023-04-07,6,26242.7,634,False
139,15,114,2022-01-17,17,20348.3,1079,False
140,15,926,2024-04-19,20,61186.91,256,False
141,15,531,2023-03-15,17,41249.04,657,False
142,15,112,2022-03-16,7,61391.34,1021,False
143,15,965,2024-03-11,3,8230.7,295,False
144,15,673,2023-07-30,10,8112.02,520,False
145,15,46,2021-11-01,15,75633.43,1156,False
146,15,218,2022-05-02,17,33871.46,974,False
147,15,652,2023-04-24,5,26518.09,617,False
148,15,47,2021-09-06,18,42157.39,1212,False
149,15,560,2023-06-18,11,61687.21,562,False
150,16,35,2021-10-10,6,7632.14,1178,False
151,16,850,2024-02-22,5,8881.01,313,False
152,16,508,2022-12-27,3,1889.88,735,False
153,16,246,2022-04-10,7,5003.38,996,False
154,16,565,2023-07-03,5,11612.12,547,False
155,16,821,2023-12-28,5,11293.98,369,False
156,16,163,2022-01-11,2,10828.99,1085,False
157,16,873,2024-05-09,1,9788.35,236,False
158,17,311,2022-07-20,6,13679.43,895,False
159,17,865,2024-01-08,10,9470.51,358,False
160,17,861,2024-02-03,3,4883.84,332,False
161,17,570,2023-06-29,8,11921.74,551,False
162,17,134,2022-02-25,9,10321.23,1040,False
163,18,798,2023-12-06,9,6038.5,391,False
164,18,612,2023-05-22,10,2704.41,589,False
165,18,239,2022-03-02,2,12791.72,1035,False
166,19,782,2023-10-06,8,11383.48,452,False
167,19,981,2024-06-28,2,2971.08,186,False
168,19,356,2022-08-13,8,6715.62,871,False
169,19,25,2021-08-04,5,4371.85,1245,False
170,19,972,2024-08-10,9,6112.15,143,False
171,19,608,2023-03-15,2,3798.3,657,False
172,20,521,2023-05-26,18,8921.18,585,False
173,20,836,2024-03-10,17,61987.68,296,False
174,20,475,2023-01-28,11,52577.48,703,False
175,20,207,2022-05-14,6,40016.66,962,False
176,20,447,2023-03-01,20,11241.47,671,False
177,20,375,2022-12-24,5,30159.8,738,False
178,20,687,2023-09-20,11,21082.25,468,False
179,21,591,2023-07-14,3,13016.15,536,False
180,21,849,2024-01-15,3,14361.96,351,False
181,21,93,2021-12-15,9,13450.05,1112,False
182,21,803,2023-11-28,1,12717.77,399,False
183,21,8,2021-11-30,9,8446.63,1127,False
184,22,141,2022-05-03,2,10869.46,973,False
185,22,270,2022-09-19,2,5701.99,834,False
186,22,317,2022-08-08,2,12991.01,876,False
187,22,687,2023-08-15,5,10946.03,504,False
188,22,950,2024-02-12,8,10224.0,323,False
189,22,187,2022-01-21,5,1436.97,1075,False
190,22,107,2022-01-27,6,2477.73,1069,False
191,23,967,2024-05-11,10,59833.88,234,False
192,23,1039,2024-06-26,1,65465.13,188,False
193,23,52,2021-08-30,9,74619.43,1219,False
194,23,657,2023-09-09,13,7075.92,479,False
195,23,224,2022-04-05,12,67346.62,1001,False
196,23,788,2023-12-18,4,70005.58,379,False
197,23,996,2024-08-15,18,13051.63,138,False
198,23,262,2022-08-07,7,10826.6,877,False
199,23,537,2023-01-29,18,35451.62,702,False
200,23,469,2022-12-28,14,42814.8,734,False
201,23,359,2022-07-22,11,32568.45,893,False
202,23,704,2023-07-13,20,38542.25,537,False
203,23,378,2022-09-29,12,70594.25,824,False
204,23,1002,2024-09-18,2,30976.32,104,False
205,23,286,2022-05-31,10,26281.46,945,False
206,23,395,2022-12-23,20,53113.53,739,False
207,23,181,2022-06-06,14,8254.19,939,False
208,23,842,2024-03-06,20,56418.91,300,False
209,23,669,2023-05-20,14,11858.97,591,False
210,23,783,2024-01-29,11,64470.9,337,False
211,23,18,2022-01-16,7,42175.82,1080,False
212,23,304,2022-09-29,5,79630.57,824,False
213,24,859,2023-12-02,4,205.52,395,True
214,24,1017,2024-06-15,3,1397.02,199,True
215,24,191,2022-04-08,3,2379.9,998,True
216,24,677,2023-08-01,2,2984.51,518,True
217,24,386,2022-08-26,3,1540.51,858,True
218,25,837,2023-11-10,3,60250.69,417,False
219,25,691,2023-07-28,17,64647.02,522,False
220,25,15,2021-08-19,11,14007.45,1230,False
221,25,60,2021-10-01,11,49737.34,1187,False
222,25,126,2022-02-03,13,6326.9,1062,False
223,25,441,2023-02-12,13,67985.55,688,False
224,25,832,2024-03-07,11,59990.01,299,False
225,25,113,2022-02-22,4,32315.64,1043,False
226,25,509,2023-05-17,17,40109.91,594,False
227,25,69,2022-01-07,8,5058.29,1089,False
228,25,333,2022-09-19,14,41303.7,834,False
229,25,984,2024-05-25,20,60919.75,220,False
230,25,913,2024-06-29,14,75454.3,185,False
231,25,184,2022-06-18,17,9009.07,927,False
232,25,136,2022-05-14,16,54182.17,962,False
233,26,889,2024-02-01,3,3051.52,334,False
234,26,1080,2024-09-19,6,2174.06,103,False
235,26,918,2024-06-26,4,4244.28,188,False
236,26,580,2023-03-09,2,6866.75,663,False
237,26,158,2021-12-19,1,1266.36,1108,False
238,26,702,2023-07-29,1,5351.02,521,False
239,26,1094,2024-10-31,4,14476.32,61,False
240,26,631,2023-04-24,5,4042.67,617,False
241,26,999,2024-07-14,8,5935.7,170,False
242,26,880,2024-04-05,7,13546.8,270,False
243,26,691,2023-09-29,10,9541.19,459,False
244,26,377,2022-09-04,7,10963.56,849,False
245,27,477,2023-02-16,2,14583.11,684,False
246,27,746,2023-12-11,6,6569.05,386,False
247,27,208,2022-02-10,7,5629.36,1055,False
248,27,101,2021-12-21,5,3566.56,1106,False
249,27,466,2023-04-04,6,4776.86,637,False
250,27,828,2023-11-13,7,5861.48,414,False
251,27,566,2023-03-11,3,6085.16,661,False
252,27,362,2022-09-02,3,5415.82,851,False
253,27,505,2022-12-11,4,1035.23,751,False
254,28,303,2022-05-08,3,4538.15,968,False
255,28,149,2022-05-05,8,7368.59,971,False
256,28,753,2023-10-24,4,6720.99,434,False
257,28,1005,2024-07-31,2,10761.63,153,False
258,28,596,2023-07-09,2,2010.81,541,False
259,28,271,2022-09-01,10,13867.21,852,False
260,28,326,2022-08-03,10,13338.05,881,False
261,28,860,2024-05-07,10,9020.41,238,False
262,28,81,2021-11-21,4,13048.47,1136,False
263,28,760,2023-10-28,2,3872.81,430,False
264,28,49,2021-12-18,10,8308.97,1109,False
265,28,1066,2024-08-13,4,5327.22,140,False
266,29,206,2022-06-18,4,638.64,927,False
267,29,968,2024-05-25,7,11499.27,220,False
268,29,618,2023-06-21,4,7249.77,559,False
269,29,1003,2024-09-19,10,6233.22,103,False
270,29,319,2022-10-11,6,6496.91,812,False
271,29,1041,2024-08-04,2,6802.93,149,False
272,29,407,2023-01-13,3,1422.59,718,False
273,30,167,2022-03-31,5,2419.02,1006,False
274,30,393,2022-09-11,2,5019.02,842,False
275,30,565,2023-07-04,4,2501.1,546,False
276,30,557,2023-06-14,6,4195.69,566,False
277,30,515,2023-04-13,3,5777.41,628,False
278,30,286,2022-09-08,8,1573.02,845,False
279,30,376,2022-08-02,1,7319.47,882,False
280,30,563,2023-06-26,2,4757.13,554,False
281,30,1061,2024-08-19,3,9319.0,134,False
282,30,998,2024-05-16,4,14763.17,229,False
283,30,1033,2024-08-16,6,3290.38,137,False
284,30,237,2022-07-13,10,11221.34,902,False
285,31,889,2024-05-23,9,57233.84,222,False
286,31,57,2021-09-30,18,48831.49,1188,False
287,31,462,2022-12-19,18,60060.55,743,False
288,31,86,2022-03-10,16,15863.64,1027,False
289,31,753,2023-07-29,3,44986.13,521,False
290,31,542,2023-01-11,15,77211.27,720,False
291,31,580,2023-05-28,2,9656.63,583,False
292,31,651,2023-08-09,8,53174.69,510,False
293,31,332,2022-10-26,6,58450.68,797,False
294,31,855,2024-02-17,19,77627.24,318,False
295,31,454,2023-02-18,15,17394.07,682,False
296,31,632,2023-04-01,12,70507.34,640,False
297,31,455,2022-11-22,19,72355.82,770,False
298,31,624,2023-05-15,14,54031.15,596,False
299,31,657,2023-09-02,7,16343.95,486,False
300,31,654,2023-08-25,16,40652.16,494,False
301,31,607,2023-07-14,6,53038.17,536,False
302,31,906,2024-06-07,13,26590.94,207,False
303,31,524,2023-04-07,12,14137.17,634,False
304,32,587,2023-02-18,7,2448.16,682,False
305,32,82,2021-12-30,6,3817.33,1097,False
306,32,744,2023-10-15,6,8351.13,443,False
307,32,693,2023-06-30,10,1923.65,550,False
308,32,1085,2024-07-28,1,3686.11,156,False
309,32,549,2023-03-04,8,10418.72,668,False
310,32,517,2023-03-22,10,8870.06,650,False
311,32,685,2023-09-22,10,11503.81,466,False
312,33,254,2022-08-24,4,13210.28,860,False
313,33,1092,2024-11-03,3,11179.37,58,False
314,33,168,2022-04-30,2,12898.91,976,False
315,33,875,2024-04-28,8,6583.9,247,False
316,34,188,2022-02-09,15,20518.67,1056,False
317,34,205,2022-02-10,1,16100.33,1055,False
318,34,1060,2024-06-15,8,21386.65,199,False
319,34,193,2022-06-05,14,29438.86,940,False
320,34,290,2022-05-02,17,12162.67,974,False
321,34,114,2021-12-31,10,65119.85,1096,False
322,34,982,2024-08-19,1,31719.44,134,False
323,34,1071,2024-09-22,2,25547.96,100,False
324,34,504,2022-12-27,2,9294.49,735,False
325,34,780,2023-11-06,14,29806.28,421,False
326,34,159,2022-03-19,7,51660.3,1018,False
327,34,775,2024-01-05,5,70704.07,361,False
328,34,495,2023-03-09,20,78185.91,663,False
329,34,789,2023-12-19,14,47975.73,378,False
330,34,548,2023-02-06,10,37320.9,694,False
331,34,737,2023-07-12,19,72868.46,538,False
332,34,294,2022-10-17,12,27544.54,806,False
333,35,1074,2024-09-07,1,7279.06,115,False
334,35,435,2023-01-31,6,7217.46,700,False
335,35,180,2022-03-16,3,10087.3,1021,False
336,35,117,2021-12-24,8,2901.66,1103,False
337,35,264,2022-06-19,3,3545.17,926,False
338,35,265,2022-09-11,10,9389.33,842,False
339,35,830,2023-12-24,3,7055.6,373,False
340,35,274,2022-07-05,1,7559.85,910,False
341,35,143,2022-04-18,1,681.27,988,False
342,35,583,2023-07-25,8,5797.5,525,False
343,35,1063,2024-07-19,3,2389.82,165,False
344,36,261,2022-03-28,5,7932.71,1009,False
345,36,459,2023-03-18,8,7953.49,654,False
346,36,685,2023-07-09,8,7824.19,541,False
347,36,991,2024-07-26,5,1270.17,158,False
348,36,720,2023-10-22,9,6241.08,436,False
349,36,982,2024-03-14,7,6868.59,292,False
350,36,25,2021-08-04,4,13187.37,1245,False
351,36,389,2022-10-02,10,12345.6,821,False
352,36,974,2024-07-25,9,12539.74,159,False
353,36,416,2022-11-07,8,13272.98,785,False
354,37,514,2022-12-04,7,11249.71,758,False
355,37,68,2022-02-14,3,3300.9,1051,False
356,37,690,2023-07-20,9,2611.77,530,False
357,37,358,2022-11-03,10,4441.14,789,False
358,37,945,2024-07-23,9,3692.37,161,False
359,37,100,2021-12-19,3,5952.76,1108,False
360,37,755,2023-08-04,4,6248.52,515,False
361,37,633,2023-09-06,5,8312.53,482,False
362,37,971,2024-04-24,8,14020.26,251,False
363,37,601,2023-05-29,10,11119.52,582,False
364,37,565,2023-06-17,9,8275.55,563,False
365,37,777,2023-10-07,1,8355.28,451,False
366,38,1074,2024-11-23,19,62031.03,38,False
367,38,341,2022-12-01,15,49880.88,761,False
368,38,584,2023-05-24,17,62414.15,587,False
369,38,134,2022-01-12,12,76316.55,1084,False
370,38,727,2023-11-24,11,67619.53,403,False
371,38,472,2022-11-14,3,51981.32,778,False
372,38,720,2023-09-29,5,73670.4,459,False
373,38,58,2022-02-19,7,8808.96,1046,False
374,38,955,2024-06-21,16,70184.38,193,False
375,38,104,2021-10-26,6,40279.08,1162,False
376,38,1062,2024-07-28,2,76533.59,156,False
377,38,512,2023-04-22,4,67867.26,619,False
378,38,694,2023-07-19,7,52204.28,531,False
379,38,427,2023-02-20,7,57983.43,680,False
380,38,258,2022-05-07,12,44357.75,969,False
381,38,879,2024-01-29,9,21788.37,337,False
382,38,788,2024-02-21,10,42789.39,314,False
383,38,1088,2024-08-11,8,23099.3,142,False
384,38,282,2022-05-21,4,74939.15,955,False
385,38,899,2024-03-27,1,37501.72,279,False
386,38,82,2021-09-27,19,27015.1,1191,False
387,38,952,2024-07-23,18,65244.45,161,False
388,39,27,2021-08-07,7,10266.02,1242,False
389,39,708,2023-11-20,4,1721.79,407,False
390,39,250,2022-06-28,3,8691.5,917,False
391,39,918,2024-05-15,1,6977.66,230,False
392,39,801,2023-10-22,7,11229.16,436,False
393,39,774,2023-11-29,7,12648.88,398,False
394,39,125,2022-01-08,9,10505.16,1088,False
395,39,203,2022-06-08,8,7124.97,937,False
396,39,527,2023-01-03,2,7332.16,728,False
397,39,667,2023-08-08,9,13432.52,511,False
398,39,1043,2024-10-05,4,13429.59,87,False
399,40,839,2024-03-11,16,7578.43,295,False
400,40,207,2022-05-14,4,44133.45,962,False
401,40,744,2023-09-29,5,22816.22,459,False
402,40,423,2022-10-13,8,13240.34,810,False
403,40,1022,2024-09-02,19,8516.24,120,False
404,40,481,2022-12-31,5,74071.1,731,False
405,40,629,2023-04-09,16,70100.61,632,False
406,40,521,2023-05-05,20,78716.84,606,False
407,41,401,2023-01-22,4,962.72,709,True
408,42,302,2022-05-28,2,52611.04,948,False
409,42,406,2022-11-12,20,70097.94,780,False
410,42,42,2021-11-09,16,53494.23,1148,False
411,42,70,2021-10-20,7,48606.86,1168,False
412,42,270,2022-04-11,5,36169.18,995,False
413,42,5,2021-11-13,2,42251.24,1144,False
414,42,480,2022-11-15,16,9970.82,777,False
415,42,839,2024-02-11,5,59554.23,324,False
416,42,565,2023-04-06,4,15987.97,635,False
417,42,723,2023-07-11,16,50748.93,539,False
418,42,252,2022-03-15,6,19161.2,1022,False
419,42,241,2022-03-06,14,78445.48,1031,False
420,42,408,2023-01-29,18,58474.57,702,False
421,42,379,2022-07-24,12,35201.28,891,False
422,42,164,2022-05-21,10,72880.63,955,False
423,42,349,2022-11-20,12,20738.58,772,False
424,42,103,2021-12-03,1,65616.39,1124,False
425,43,329,2022-07-30,4,309.1,885,True
426,44,208,2022-06-13,9,9046.05,932,False
427,44,503,2023-04-14,4,4496.8,627,False
428,44,765,2023-11-30,3,10092.18,397,False
429,44,421,2022-09-06,2,11342.83,847,False
430,44,1023,2024-06-08,2,13923.6,206,False
431,44,364,2022-12-01,5,14323.18,761,False
432,44,974,2024-05-16,6,9945.88,229,False
433,44,694,2023-08-04,1,7427.41,515,False
434,44,309,2022-10-18,5,13290.81,805,False
435,44,837,2024-02-20,6,1297.78,315,False
436,45,132,2022-02-28,6,11181.45,1037,False
437,45,47,2021-11-11,4,14150.9,1146,False
438,45,540,2023-06-06,2,61069.95,574,False
439,45,799,2023-12-27,11,30305.43,370,False
440,45,1031,2024-09-09,1,6860.94,113,False
441,45,522,2023-05-20,5,63997.92,591,False
442,45,520,2023-03-04,4,33149.24,668,False
443,45,630,2023-06-09,11,23557.15,571,False
444,45,952,2024-08-08,20,16415.0,145,False
445,45,1048,2024-05-25,16,50603.69,220,False
446,46,481,2023-03-10,4,2957.92,662,False
447,46,500,2023-02-06,8,6872.17,694,False
448,46,51,2021-09-20,9,8740.01,1198,False
449,46,760,2023-12-08,5,14796.4,389,False
450,46,726,2023-07-02,2,7695.63,548,False
451,46,250,2022-07-19,6,7758.61,896,False
452,46,187,2022-01-13,3,2250.93,1083,False
453,46,767,2023-11-08,3,4329.36,419,False
454,46,512,2023-05-26,9,7351.7,585,False
455,46,418,2023-02-18,2,6361.62,682,False
456,46,1071,2024-11-29,5,11666.63,32,False
457,47,213,2022-02-02,3,13362.89,1063,False
458,47,135,2021-11-26,3,6082.68,1131,False
459,47,103,2021-11-12,1,6664.16,1145,False
460,47,243,2022-08-18,3,11019.77,866,False
461,48,966,2024-06-15,7,12971.88,199,False
462,48,962,2024-04-28,9,865.94,247,False
463,48,583,2023-03-12,4,2019.38,660,False
464,48,477,2022-11-20,4,10584.75,772,False
465,48,623,2023-04-28,4,5813.35,613,False
466,48,905,2024-04-04,10,928.1,271,False
467,48,700,2023-08-10,5,14804.77,509,False
468,48,999,2024-09-03,8,6916.43,119,False
469,48,655,2023-07-23,7,4731.01,527,False
470,49,771,2023-12-07,4,2712.49,390,False
471,49,537,2023-03-12,10,6102.69,660,False
472,49,219,2022-03-23,2,5216.7,1014,False
473,49,1092,2024-07-27,10,6596.71,157,False
474,49,404,2022-08-26,3,6125.23,858,False
475,49,516,2023-04-10,1,9186.85,631,False
476,49,883,2024-04-21,1,12287.05,254,False
477,49,1050,2024-10-11,5,789.56,81,False
478,49,712,2023-11-05,2,7032.15,422,False
479,49,425,2022-10-13,2,1235.53,810,False
480,49,1069,2024-06-29,8,3957.31,185,False
481,49,422,2022-09-01,3,4628.44,852,False
482,50,202,2022-04-24,3,5453.29,982,False
483,50,817,2023-11-26,4,9411.28,401,False
484,50,389,2022-12-28,7,8749.96,734,False
485,50,362,2022-08-16,2,14203.95,868,False
486,50,1045,2024-08-07,9,4130.54,146,False
487,50,937,2024-05-24,5,3818.58,221,False
488,50,42,2021-08-20,9,5642.13,1229,False
489,50,918,2024-01-08,4,4504.18,358,False
490,50,1057,2024-08-02,8,5425.77,151,False
491,50,971,2024-08-12,2,14767.38,141,False
